ID,LONG,LAT,Elevation,AAP(mm),RiverDIST(m),FaultDIST(m),Slop(Percent),Slop(Degrees),Landslide Risk
0,52.326,27.763,617.0,137,1448.705292,40639.5789,42.2406693,22.8995228,0.13999999999999999
1,52.333,27.772,944.0,137,344.2994837,40135.02913,68.2191162,34.3014641,0.36000000000000004
2,52.326,27.763,617.0,137,1448.705292,40639.5789,42.2406693,22.8995228,0.13999999999999999
3,52.333,27.694,55.0,137,1889.828623,42189.54442,12.1417656,6.9228325,0.0
4,52.324,27.682,20.0,137,874.2016906,43010.084,2.2162299,1.2695984,0.16000000000000003
5,52.313,27.775,616.0,137,404.8089532,38850.08367,12.9352999,7.3704548,0.16000000000000003
6,52.313,27.685,31.0,137,214.0573525,44108.08706,8.1982002,4.6867418,0.16000000000000003
7,53.167,27.486,938.0,128,942.2903776,41978.69755,38.0811234,20.8473949,0.30000000000000004
8,53.173,27.483,997.0,128,923.985226,42012.63072,36.4768181,20.0403614,0.30000000000000004
9,53.177,27.481,982.0,128,630.3981552,42041.32242,38.5856361,21.0994263,0.30000000000000004
10,53.167,27.489,940.0,128,982.950499,41682.44522,39.7474747,21.6765728,0.30000000000000004
11,53.338,27.466,516.0,128,2470.397753,36194.56093,1.2748281,0.7303831,0.0
12,53.678,27.812,725.0,138,3456.875061,6292.382384,22.1826591,12.507205,0.0
13,53.778,27.925,756.0,138,2989.006526,4573.340079,1.6997707,0.9738031,0.0
14,53.777,27.933,754.0,138,3218.362532,5423.691246,3.0047984,1.7211049,0.0
15,54.335,27.242,453.0,155,4094.873151,6829.369521,30.0539932,16.7276211,0.0
16,56.094,27.733,657.0,159,1468.074048,6801.786577,8.7501049,5.0007043,0.0
17,55.963,27.935,1310.0,156,3665.095531,7947.390753,36.5534706,20.0791111,0.29
18,55.963,27.928,1123.0,156,4307.876899,7393.504484,13.4606924,7.666328,0.15
19,55.251,26.792,234.0,150,1099.766202,1279.902736,16.4107113,9.3195753,0.0540072948
20,55.251,26.791,239.0,150,995.7710454,1356.284345,28.9242096,16.1320953,0.20827867412500004
21,56.283,27.231,44.0,155,5710.189215,2106.698156,5.3818617,3.0806077,0.0
22,56.061,27.374,524.0,155,5129.28673,6432.097871,56.8842545,29.6330624,0.2
23,55.683,27.753,409.0,156,102.7995633,6308.813734,26.2723198,14.7202673,0.16000000000000003
24,55.927,27.624,323.0,156,969.7723659,14509.02654,2.0904415,1.1975604,0.16000000000000003
25,55.182,27.834,815.0,163,3320.397743,1380.357464,14.2846489,8.1295042,0.04647319019999999
26,56.209,27.455,904.0,155,225.1802964,8001.028313,70.7281342,35.2710571,0.36000000000000004
27,56.207,27.451,860.0,155,101.4404876,7733.089917,23.3880672,13.1637592,0.16000000000000003
28,56.207,27.447,936.0,155,213.4679273,7365.17273,44.8953514,24.1778622,0.30000000000000004
29,57.042,27.567,667.0,124,2971.115974,1478.942692,26.1137562,14.6352501,0.039079298099999986
30,57.743,26.424,871.0,118,4.352023672,1002.23639,3.2529633,1.8631537,0.23483227075000002
31,57.539,26.761,537.0,168,1371.994874,4215.897246,9.2731018,5.297945,0.0
32,56.608,27.766,777.0,141,101.8596856,7471.413875,6.8229442,3.9032097,0.16000000000000003
33,56.476,27.879,1163.0,159,336.1552788,1086.668927,12.2572212,6.9880137,0.3784998304750001
34,56.626,27.771,807.0,141,703.7891453,8383.45261,10.6371565,6.0718098,0.16000000000000003
35,56.565,27.763,645.0,141,689.924931,5301.650377,9.030407,5.1600461,0.16000000000000003
36,56.565,27.761,695.0,141,490.2222944,5099.599039,17.7969322,10.0912361,0.16000000000000003
37,56.331,27.863,1680.0,159,591.4045325,138.8178911,60.8748741,31.3309116,0.7395886581675001
38,57.626,27.542,458.0,116,2443.218133,1550.898437,0.6851995,0.3925842,0.033682617224999996
39,57.124,27.555,659.0,124,311.2875213,523.9991729,25.065134,14.0713625,0.2707000620325
40,56.338,27.72,595.0,159,366.8863699,14781.9142,14.7559776,8.3939791,0.16000000000000003
41,56.338,27.721,574.0,159,434.1528932,14674.2769,8.7211657,4.9842486,0.16000000000000003
42,56.481,27.839,1085.0,159,473.7021517,4919.533463,29.5999336,16.4887199,0.31000000000000005
43,57.556,27.833,753.0,116,968.4793375,1184.236674,3.6307118,2.0793314,0.22118224945000003
44,56.431,27.919,1532.0,159,1530.865383,4908.593797,44.3799667,23.931633,0.38
45,56.378,27.919,2050.0,159,788.6595565,3813.123445,95.2603607,43.6095085,0.6000000000000001
46,56.352,27.917,2020.0,159,2935.7213,2578.357061,23.9254417,13.4553347,0.24
47,56.49,27.747,593.0,159,1935.823697,5422.290644,20.2015438,11.4209242,0.0
